Latitude,Longitude,id,address,Flashed,Flashable
48.849961,2.33077,PA_0176,12 rue Cassette,False,True
48.865373,2.33081,PA_0177,12 rue du 29 Juillet,False,True
48.874702,2.305926,PA_0178,165 rue du Faubourg Saint-HonorÃ©,True,True
48.82725,2.50721,PA_0179,entrÃ©e du tunnel de Champigny,False,True
48.851063,2.331925,PA_0180,14 rue Madame,True,True
48.850645,2.331768,PA_0181,20-24 rue Madame,True,True
48.850962,2.331918,PA_0182,18 rue Madame,True,True
48.85035,2.331885,PA_0183,19 rue de MÃ©ziÃ¨res,False,True
48.852326,2.341737,PA_0184,2 rue Mignon,False,True
48.872642,2.33117,PA_0185,8 rue Scribe,False,True
48.846366,2.354711,PA_0187,fontaine Jussieu,False,True
48.85788,2.36018,PA_0188,39 rue des Francs-Bourgeois,True,True
48.860515,2.354532,PA_0189,3 rue Geoffroy Langevin,True,True
48.860208,2.403704,PA_0190,1 rue Stendhal,False,True
48.86068,2.402905,PA_0191,21 chemin du Parc de Charonne,False,True
48.860974,2.404965,PA_0192,face au 130 rue de Bagnolet,False,True
48.860974,2.404965,PA_0785,face au 130 rue de Bagnolet,False,True
48.865294,2.356472,PA_0193,29 rue de RÃ©aumur,True,True
48.859993,2.377448,PA_0194,61 rue du Chemin Vert,False,True
48.900821,2.344819,PA_0195,avenue de la porte Clignancourt,False,True
48.883703,2.368895,PA_0196,place de la Bataille de Stalingrad,False,True
48.886559,2.33238,PA_0197,cimetiÃ¨re de Montmartre,True,True
48.874305,2.372611,PA_0198,27 rue Sainte-Marthe,False,True
48.844506,2.37238,PA_0200,face au 194 rue de Bercy,False,True
48.87801,2.37682,PA_0201,19 rue Georges Lardennois,False,True
48.889956,2.395975,PA_0204,place de la porte de Pantin,True,True
48.878073,2.35168,PA_0205,parvis de Saint-Vincent-de-Paul,False,True
48.883508,2.327428,PA_0206,place de Clichy,False,True
48.887721,2.332576,PA_0207,7 rue DamrÃ©mont,True,True
48.837428,2.331491,PA_0208,mÃ©tro Raspail,False,True
48.833351,2.379387,PA_0209,sur la coque du Batofar,False,True
48.885295,2.359571,PA_0210,6 rue Marx Dormoy,False,True
48.852441,2.371607,PA_0211,30 rue du Faubourg Saint-Antoine,False,True
48.85705,2.39305,PA_0212,123 boulevard de Charonne,False,True
48.842099,2.349683,PA_0213,84 rue Mouffetard,False,True
48.842592,2.386157,PA_0215,0 rue Montgallet,False,True
48.842592,2.386157,PA_1056,0 rue Montgallet,False,True
48.821572,2.342467,PA_0216,67 rue de l'Amiral Mouchez,False,True
48.84423,2.37204,PA_0218,Tunnel Van-Gogh,True,True
48.81957,2.37367,PA_0219,face au 8 rue AndrÃ© Voguet,False,True
48.837396,2.373523,PA_0220,mÃ©tro Quai de la Gare,False,True
48.873796,2.382938,PA_0221,91 rue Rebeval,False,True
48.871109,2.374427,PA_0222,94 rue du Faubourg du Temple,False,True
48.848217,2.376069,PA_0223,20 rue Abel,True,True
48.819874,2.373607,PA_0224,sur les panneaux d'information du pÃ©riph',False,True
48.819453,2.373015,PA_0225,sur le pont du periph' porte d'Ivry,False,True
48.876749,2.351173,PA_0226,83 rue d'Hauteville,False,True
48.88991,2.38295,PA_0228,pont de la rue de l'Ourcq,False,True
48.851027,2.339681,PA_0229,rue Antoine Dubois,False,True
48.864322,2.349905,PA_0231,1 rue Tiquetonne,False,True
48.864543,2.347672,PA_0232,11 rue FranÃ§aise,False,True
48.844456,2.276331,PA_0233,1 rue des CÃ©vennes,False,True
48.87095,2.29964,PA_0236,16 rue Magellan,False,True
48.873433,2.297074,PA_0237,156 avenue des Champs Ã‰lysÃ©es,False,True
48.866054,2.307521,PA_0238,8 rue FranÃ§ois 1er,True,True
48.845741,2.373868,PA_0240,face au 23 boulevard Diderot,False,True
